,Unnamed: 0,Unnamed: 0.1,job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,cp.entity_embedder.regularize_weight,cp.relation_embedder.regularize_weight,cp.entity_embedder.dropout,cp.relation_embedder.dropout,KvsAll.label_smoothing
0,0,0,539c3ded,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2879266021528371,0,403326bb,256.0,Adam,0.0184900041029588,0.0,512.0,normal_,0.0013033639848664,-0.6162258040022663,lp,False,2.899838613510236e-10,4.9033912434186275e-17,0.099561165086925,-0.0469309128820896,-0.0826091978698968
1,1,1,539c3ded,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,210,,,,mean_reciprocal_rank_filtered_with_test,0.1722605987801183,1,8fef4f66,1024.0,Adam,0.0005896547522643,4.0,32.0,xavier_normal_,0.0255087813860995,-0.7880745451478287,lp,False,2.820849654387234e-18,7.664456914924019e-16,0.4753393745049834,0.4902449985966086,-0.2296326119452715
2,2,2,539c3ded,fb15k-237,cp,0,search,KvsAll,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.2581381879098945,2,c77d68d2,128.0,Adagrad,0.1643906073013022,7.0,128.0,uniform_,5.01371056559006e-05,-0.29228300147634,,True,0.0073014642865652,6.012923764154594e-11,-0.1561510358005762,-0.2545577343553304,0.1442236650735139
3,3,3,539c3ded,fb15k-237,cp,0,search,KvsAll,valid,120,,,,mean_reciprocal_rank_filtered_with_test,0.3041249253724693,3,cc968d13,1024.0,Adam,0.0098544941801693,4.0,128.0,xavier_normal_,0.0066651208077704,-0.6690303783815261,lp,True,9.56770414413302e-07,6.841809324170976e-05,0.1948572397232055,0.3163783233612776,0.0486448751762509
4,4,4,539c3ded,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.2281388952006701,4,511817de,128.0,Adagrad,0.117396330365761,5.0,64.0,normal_,3.706315896239375e-05,-0.1568820532416458,lp,False,1.4482566307423789e-12,5.397653857158097e-19,-0.4363479008898139,-0.4231593208387494,-0.1703819816932082
5,5,5,539c3ded,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1919977010265184,5,5659b014,512.0,Adagrad,0.0011800602325355,9.0,512.0,xavier_uniform_,0.2270080763341043,-0.4857149842647184,lp,False,1.787341058181134e-06,4.507570869534946e-13,-0.0601729480549693,0.1165649518370628,-0.0245304157957434
6,6,6,539c3ded,fb15k-237,cp,0,search,KvsAll,valid,15,,,,mean_reciprocal_rank_filtered_with_test,0.0011724880491528,6,d95eeb5b,256.0,Adam,0.8122345110868422,2.0,32.0,normal_,0.0004122716131351,-0.9969940439579356,,True,2.049235242132978e-19,1.816143915779695e-08,0.3171564601361751,-0.1308166561648249,0.201603159494698
7,7,7,539c3ded,fb15k-237,cp,0,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2070582607107214,7,28df9dce,1024.0,Adagrad,0.0499584596070823,1.0,16.0,xavier_normal_,0.0002146725364205,-0.8744036914720945,lp,False,4.3840621778641196e-12,4.10304379894215e-20,-0.4973660968244076,0.1445981552824378,0.2319812737405299
8,8,8,539c3ded,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.2207362479282506,8,2085d121,128.0,Adam,0.0115541688887396,9.0,512.0,normal_,0.0866151861500707,-0.3621481982525997,lp,True,2.040472398454729e-08,1.0358692224293351e-05,0.1289857970550656,-0.1003171410411596,-0.1465722933411598
9,9,9,539c3ded,fb15k-237,reciprocal_relations_model,1,search,KvsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0018613159945455,9,3349c941,512.0,Adam,0.4169974646434956,7.0,64.0,uniform_,1.695190987495679e-05,-0.0343567026961967,,True,4.0330197640570045e-20,6.625928740629878e-07,0.2571749025955796,0.4069439405575394,-0.2913275241851806
