job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.optimizer,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.initialize_args.normal_.std,lookup_embedder.initialize_args.uniform_.a,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,cp.entity_embedder.regularize_weight,cp.relation_embedder.regularize_weight,cp.entity_embedder.dropout,cp.relation_embedder.dropout,negative_sampling.num_negatives_s,negative_sampling.num_negatives_o,train.loss_arg
71a2c9a7,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,380,,,,mean_reciprocal_rank_filtered_with_test,0.2590673285126176,0,3b1b1eea,128.0,Adam,0.038271465261478496,1.0,256.0,normal_,0.0005041443570535837,-0.5746373788845167,,False,3.751685059784727e-09,1.4675439149209115e-11,0.2439546724781394,-0.25783792417496443,[],[],6.00603636354208
71a2c9a7,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.1839026606385443,1,a1deaa09,1024.0,Adam,0.0003455027633011143,3.0,64.0,normal_,0.013152060932095845,-0.7613201856898331,lp,False,1.9231061957960576e-17,2.1439060824218268e-16,0.4892550678923726,0.26583542115986347,[],[],8.925955733284354
71a2c9a7,fb15k-237,cp,0,search,negative_sampling,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.0757541139818577,2,bb1d2fc8,256.0,Adagrad,0.19970725343327264,5.0,256.0,uniform_,6.434525572987095e-05,-0.30987745356608176,lp,True,0.002565876055392255,1.7497890584559714e-07,-0.017189152538776398,-0.21346729435026646,[],[],1.470485171303153
71a2c9a7,fb15k-237,cp,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.1979324693247433,3,8a767bc0,1024.0,Adam,0.008613659207841391,4.0,512.0,xavier_normal_,0.016192827904717957,-0.6603524433209933,lp,True,5.680769432691531e-07,7.028169162626635e-06,0.10949924867600203,0.4451856203377247,[],[],8.729442907497287
71a2c9a7,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,370,,,,mean_reciprocal_rank_filtered_with_test,0.2130138300408112,4,d99020cb,256.0,Adagrad,0.04875680920442487,7.0,64.0,normal_,2.299944136042559e-05,-0.14348258532367641,,False,3.1559250063875345e-11,5.866293804086033e-16,-0.3957743290811777,-0.013178825378417969,[],[],1.1860054265707731
71a2c9a7,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.2050677662532078,5,77b9e284,512.0,Adagrad,0.002129003280762995,8.0,128.0,xavier_uniform_,0.1820731345073143,-0.4580766343660838,lp,False,7.210749147445558e-06,1.3831193818997747e-20,-0.14888707920908928,0.020810081623494625,[],[],3.871549740433693
71a2c9a7,fb15k-237,cp,0,search,negative_sampling,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0087061142085249,6,cc0e994b,128.0,Adam,0.6951299160918496,1.0,32.0,normal_,0.0013332762209073788,-0.9724459870363772,lp,True,1.2170149854340605e-19,1.6916465800139675e-10,0.37213356886059046,-0.46868607867509127,[],[],6.336866989731789
71a2c9a7,fb15k-237,cp,0,search,negative_sampling,valid,195,,,,mean_reciprocal_rank_filtered_with_test,0.077985992301112,7,851eddef,1024.0,Adagrad,0.09146061996943114,2.0,16.0,xavier_normal_,0.0020855781578676875,-0.8573406923636515,,False,7.282382004328354e-13,7.249676881805447e-14,-0.46406586188822985,0.14890356548130512,[],[],7.72474548779428
71a2c9a7,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,145,,,,mean_reciprocal_rank_filtered_with_test,0.2251891167441902,8,efdef3a0,256.0,Adam,0.016188740337758266,9.0,128.0,normal_,0.05729823199189817,-0.33906465192346835,lp,True,1.0168027555103325e-07,5.7642993766248506e-05,0.06085722707211971,-0.3309104386717081,[],[],0.19122621975839138
71a2c9a7,fb15k-237,reciprocal_relations_model,1,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0043524001104932,9,5895eb55,512.0,Adam,0.37075078721758337,6.0,32.0,normal_,1.4947979977895991e-05,-0.028117551107602168,lp,True,6.637325599023263e-19,1.2469394308067056e-09,0.30017608776688576,0.3231646502390504,[],[],4.751770533621311
